entity_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,-0.1458102,-0.19826357,-0.1620884,0.11263868,-0.076045915,-0.030858621,0.14956051,-0.079989545,0.23074293,-0.05767901,-0.06692712,-0.1349302,0.125011,-0.026865752,0.078253716,0.13598233,-0.14050847,0.15160711,-0.09337795,-0.18356806,-0.0010081176,0.104551345,0.2158827,-0.18534584,0.040398218,0.10094183,0.104001164,-0.07202032,-0.047935348,0.01791113,0.057061076,-0.1933494,-0.114890605,-0.008085811,-0.19226766,-0.048066,-0.054870892,0.031694382,-0.2265211,0.15513735,-0.039363243,-0.18430488,0.166483,-0.069144785,0.2440549,0.14152056,-0.19048809,-0.16791305,0.13657357,0.028361905,-0.0083315,-0.21082582,-0.23212852,-0.06262204,-0.21428907,0.17947084,0.013497564,0.111118704,-0.031781342,-0.044176012,0.11431437,0.09909274,-0.083149225,0.048003122
2,-0.110430725,-0.19325113,-0.16352978,0.11641275,-0.07233498,-0.01824311,0.11409336,-0.11549963,0.22248647,-0.007886188,-0.090888165,-0.19321243,0.039081655,-0.13325393,0.096359186,0.10008206,-0.111651465,0.11785551,-0.054369707,-0.1370019,-0.10024863,0.023441201,0.14127563,-0.2134873,0.09971334,0.08954352,0.14108735,-0.1657255,-0.044563856,0.08464535,-0.06348149,-0.17644094,-0.060643073,0.006638207,-0.13410865,0.026963089,0.079148784,-0.017824657,-0.19990107,0.025795087,-0.024707504,-0.19577232,0.14578205,-0.19179158,0.25305393,0.05796868,-0.13521287,-0.14029598,0.21279357,-0.04823568,0.07435363,-0.178113,-0.24778734,-0.17398487,-0.20970474,0.12052561,0.06872969,0.11066161,-0.018920638,-0.006929042,0.16372335,0.03013983,-0.021368297,0.14336571
3,-0.11166881,0.0627519,-0.0039186585,-0.13928173,0.14968933,0.15222,-0.14695345,-0.16635968,0.20123276,-0.115852684,0.023711741,-0.1799516,0.12810116,-0.14613196,-0.09186865,-0.06051498,0.09641413,0.11294229,0.14231123,-0.13634284,0.050628975,0.115413815,0.14505395,0.06473101,0.1679666,0.048483666,-0.051259093,0.019708706,0.09773076,-0.031261668,0.09766746,-0.15500218,-0.098019466,0.1181041,-0.18126924,0.12019029,-0.08283575,0.25009054,-0.24436264,0.115597405,-0.1639773,0.10001015,0.16263738,-0.21794258,-0.011932606,0.234441,-0.12536484,0.073608615,-0.123209424,0.12428561,-0.035213213,-0.13180625,-0.042491827,-0.10798065,-0.010933785,0.14953329,-0.16929977,0.09367938,0.1032338,-0.12948178,0.19016874,0.11248812,0.079006255,-0.018220253
4,-0.13193059,-0.008833487,-0.1785481,0.03997679,0.19481488,0.17405519,-0.10925239,-0.1960481,0.16391361,-0.20621786,-0.0989693,-0.20168369,-0.08246476,-0.21638307,-0.13498865,-0.08967216,0.14017351,-0.11244768,0.22406311,-0.11902964,-0.16300295,0.1002901,-0.013446308,0.04536084,0.14384517,-0.10987053,-0.0936081,-0.17302607,-0.097213246,0.12033395,-0.15233186,-0.14042221,0.1078323,0.17569776,-0.059276596,0.023781804,0.0881359,0.06112702,-0.07301079,-0.11752194,-0.09151101,0.030438056,0.19526267,-0.18953326,-0.014996664,0.0357328,-0.12496852,0.09810739,0.05494912,0.1564667,0.17094079,-0.15997525,-0.08487094,-0.17040372,-0.020499287,-0.1080058,-0.045575846,0.07468523,-0.035934333,-0.029515851,0.16614278,-0.04864004,0.17032659,0.06338782
5,0.09015202,-0.04300148,-0.08656918,-0.12169688,-0.11195492,0.049561977,-0.053647213,0.100278005,-0.047342725,-0.03801939,0.18777274,0.084716305,-0.18825378,0.026828097,0.0512873,-0.16647443,0.04609178,-0.2307879,0.2524129,-0.021113575,-0.06587653,-0.06809453,-0.0798414,0.11488514,0.068974406,-0.26016656,0.008505995,-0.12174446,-0.11508093,-0.14566198,0.0837272,0.116680674,-0.13811326,-0.03185556,0.10157829,-0.1804083,-0.08142488,0.22229095,0.16481718,-0.15733294,-0.12213094,-0.054241426,-0.05667524,0.05825241,-0.09401466,0.24107555,0.0901668,-0.08523013,0.1389513,-0.07828607,0.10633269,0.028528158,-0.18759231,-0.02795453,-0.11421572,-0.1487231,-0.15886219,0.11723078,-0.08041181,-0.21979596,-0.07272655,0.1258459,0.20184469,0.25452438
6,-0.07232618,-0.17529565,0.084290855,-0.049457915,-0.11996733,0.13093098,-0.14289199,0.1409438,-0.000112135705,0.13763674,0.17074308,0.1677841,-0.05793608,0.16534092,-0.047785614,-0.12839891,0.03702092,-0.1329225,0.06330012,0.11140502,0.08821227,-0.043939903,-0.11911512,0.09715312,0.040489707,-0.18090978,0.16054593,0.057672974,-0.08076909,-0.17692202,0.1694244,-0.04973253,-0.19837275,-0.11899754,-0.083158284,-0.15998137,-0.13303448,0.23450933,0.18122591,-0.054669566,-0.042957976,0.10532156,-0.013763961,0.102917746,-0.07372457,0.116855934,0.16281742,-0.2324356,0.2044005,-0.08067798,-0.07287872,0.062068846,-0.18969741,0.020654064,-0.13731809,0.030529339,-0.21679845,0.050566174,-0.06751577,-0.19577815,-0.16435476,0.19397351,0.1234305,0.112310715
7,0.20642619,-0.03336376,0.1578804,-0.17139626,8.708396e-05,0.18923971,-0.20737115,-0.03165443,-0.13551584,0.13386452,-0.056380127,-0.035137895,0.12837312,0.22007033,0.14746998,0.086077124,0.18180333,-0.022009185,0.19383393,0.09835105,0.15390643,-0.095373705,-0.13497917,0.0066366484,-0.076053046,-0.093595214,0.20215686,0.113863654,0.013241753,-0.010214082,-0.027403617,0.19990352,-0.022996739,0.15187319,0.07214855,-0.009988539,0.001933432,0.20783636,0.01586794,-0.04053128,-0.12071859,0.12514754,-0.11139085,-0.10737677,0.005652527,0.16201356,0.18537627,0.013780613,0.054031234,-0.0929839,-0.054615885,0.152261,-0.07678139,0.10416466,-0.030909557,0.11055397,-0.18428299,0.24762282,0.01465444,-0.25658417,0.04997256,-0.047593664,0.21593817,0.21372785
8,-0.08365907,-0.030151457,0.06973595,-0.19097322,0.15897898,-0.027860215,-0.059427496,0.008582531,-0.12914842,0.014593694,0.10099099,0.080046006,-0.05081122,0.15432714,-0.14277807,-0.08116546,-0.06391083,0.12097283,-0.081201375,0.21520916,0.19042596,0.10579488,-0.144713,-0.15549068,0.15885855,0.07535845,0.13376038,-0.022354454,0.16815785,-0.15888056,0.13583663,-0.12140181,-0.076335095,-0.016459111,-0.17524625,-0.11400254,0.07419324,0.11419925,0.09778628,-0.15988193,-0.24464042,0.17402276,0.11822167,-0.003003135,0.16486238,-0.086909235,0.16347216,-0.13689964,0.09182736,0.14234379,-0.14736204,0.23325646,0.02977713,-0.10220635,0.08344141,0.19935149,-0.17673615,0.15183471,0.19448939,-0.21178763,-0.105171084,0.13014904,0.035618775,0.01875804
9,0.12183374,-0.1362739,0.15982382,-0.11592452,-0.12583005,0.14837152,-0.16568306,0.13109423,-0.12735061,0.13165838,0.10046739,0.1371826,-0.10306313,0.26411834,0.13502118,-0.07944126,0.16987976,-0.14323656,0.15773599,0.07608205,0.17384563,-0.12652682,-0.14818162,0.13149573,-0.08661073,-0.16242914,0.12872615,0.11305975,-0.10522613,-0.102682136,0.06142638,0.21300082,-0.15043701,-0.090764016,0.09134244,-0.11056956,-0.10411602,0.17582585,0.16341484,-0.075678065,-0.01841162,0.11477314,-0.108049065,0.12149466,-0.12529707,0.18330745,0.14676231,-0.15389724,0.17224452,-0.14189681,-0.08127175,0.12501006,-0.13934205,0.12939857,-0.103598334,-0.030011643,-0.15109292,0.068741046,-0.080451176,-0.19481286,-0.10885919,0.1040081,0.12999798,0.14390546
10,0.23006213,0.08734293,0.14862037,-0.12015594,0.19225763,0.10186213,-0.09412204,-0.10546332,-0.19027734,0.08374864,-0.17173108,-0.16562435,0.2217327,0.1720203,0.12819697,0.19083862,0.100074075,0.11595938,0.07795741,0.074505106,0.12452023,-0.07548208,-0.16270599,-0.16525856,-0.09296573,0.05752446,0.16833436,0.14103523,0.15853775,0.10825493,-0.14139442,0.16213329,0.1275495,0.18243815,0.075743556,0.078348845,0.16319062,0.108093195,-0.1322445,0.057387445,-0.10944537,0.0989021,-0.102814406,-0.06737171,0.12911412,-0.013305839,0.11972685,0.17891191,-0.10713422,-0.028497683,-0.10190729,0.09788996,0.12518226,0.105184875,0.12539676,0.14293262,-0.12719424,0.21227948,0.12672257,-0.14896539,0.17196558,-0.15102261,0.11935975,0.08126955
